,0,1,2,3,4,5
0,Timestamp,Offset,Ch1 reading,Ch2 reading,AFG frequency,AFG amplitude
117,3713351197.81,1.2,1.172,2.501,DC,DC
118,3713351200.32,1.2,1.172,2.5,DC,DC
119,3713351202.85,1.2,1.172,2.5,DC,DC
120,3713351205.36,1.2,1.172,2.501,DC,DC
121,3713351207.87,1.2,1.172,2.5,DC,DC
122,3713351210.38,1.2,1.172,2.5,DC,DC
123,3713351212.89,1.2,1.172,2.5,DC,DC
124,3713351215.41,1.2,1.172,2.501,DC,DC
125,3713351217.94,1.2,1.172,2.5,DC,DC
126,3713351220.46,1.2,1.172,2.5,DC,DC
127,3713351222.98,1.2,1.172,2.5,DC,DC
128,3713351225.49,1.2,1.172,2.5,DC,DC
129,3713351228.0,1.2,1.172,2.5,DC,DC
130,3713351230.51,1.2,1.172,2.5,DC,DC
131,3713351233.02,1.2,1.172,2.5,DC,DC
132,3713351235.53,1.2,1.172,2.5,DC,DC
133,3713351238.04,1.2,1.172,2.5,DC,DC
134,3713351240.56,1.2,1.172,2.5,DC,DC
135,3713351243.07,1.2,1.172,2.5,DC,DC
136,3713351245.58,1.2,1.172,2.5,DC,DC
137,3713351248.11,1.2,1.172,2.5,DC,DC
138,3713351250.63,1.2,1.172,2.5,DC,DC
139,3713351253.16,1.2,1.172,2.5,DC,DC
140,3713351255.68,1.2,1.172,2.5,DC,DC
141,3713351258.19,1.2,1.172,2.5,DC,DC
142,3713351260.72,1.2,1.172,2.5,DC,DC
143,3713351263.23,1.2,1.172,2.5,DC,DC
144,3713351265.75,1.2,1.171,2.5,DC,DC
145,3713351268.27,1.2,1.171,2.5,DC,DC
146,3713351270.79,1.2,1.171,2.5,DC,DC
147,3713351273.31,1.2,1.171,2.501,DC,DC
148,3713351275.83,1.2,1.171,2.501,DC,DC
149,3713351278.34,1.2,1.171,2.501,DC,DC
150,3713351280.85,1.2,1.171,2.5,DC,DC
151,3713351283.37,1.2,1.171,2.501,DC,DC
152,3713351285.9,1.2,1.171,2.5,DC,DC
153,3713351288.43,1.2,1.171,2.5,DC,DC
154,3713351290.94,1.2,1.171,2.5,DC,DC
155,3713351293.46,1.2,1.171,2.5,DC,DC
156,3713351295.97,1.2,1.171,2.5,DC,DC
157,3713351298.48,1.2,1.171,2.5,DC,DC
158,3713351300.99,1.2,1.171,2.5,DC,DC
159,3713351303.51,1.2,1.171,2.501,DC,DC
160,3713351306.03,1.2,1.171,2.5,DC,DC
161,3713351308.55,1.2,1.171,2.5,DC,DC
162,3713351311.07,1.2,1.171,2.5,DC,DC
163,3713351313.59,1.2,1.171,2.5,DC,DC
164,3713351316.1,1.2,1.171,2.5,DC,DC
165,3713351318.61,1.2,1.171,2.5,DC,DC
166,3713351321.14,1.2,1.171,2.5,DC,DC
167,3713351323.65,1.2,1.171,2.5,DC,DC
168,3713351326.18,1.2,1.171,2.5,DC,DC
169,3713351328.69,1.2,1.171,2.501,DC,DC
170,3713351331.22,1.2,1.171,2.5,DC,DC
171,3713351333.73,1.2,1.171,2.5,DC,DC
172,3713351336.24,1.2,1.171,2.501,DC,DC
173,3713351338.76,1.2,1.171,2.5,DC,DC
174,3713351341.27,1.2,1.171,2.5,DC,DC
175,3713351343.78,1.2,1.171,2.501,DC,DC
176,3713351346.29,1.2,1.171,2.501,DC,DC
