,0,1,2,3,4,5
0,Timestamp,Offset,Ch1 reading,Ch2 reading,AFG frequency,AFG amplitude
117,3713517065.99,1.135,1.111,2.5,DC,DC
118,3713517068.5,1.135,1.111,2.5,DC,DC
119,3713517071.0,1.135,1.11,2.5,DC,DC
120,3713517073.52,1.135,1.11,2.5,DC,DC
121,3713517076.04,1.135,1.11,2.5,DC,DC
122,3713517078.56,1.135,1.11,2.5,DC,DC
123,3713517081.07,1.135,1.11,2.5,DC,DC
124,3713517083.58,1.135,1.111,2.501,DC,DC
125,3713517086.09,1.135,1.111,2.5,DC,DC
126,3713517088.62,1.135,1.111,2.501,DC,DC
127,3713517091.15,1.135,1.111,2.501,DC,DC
128,3713517093.66,1.135,1.111,2.5,DC,DC
129,3713517096.18,1.135,1.111,2.5,DC,DC
130,3713517098.69,1.135,1.111,2.5,DC,DC
131,3713517101.21,1.135,1.111,2.5,DC,DC
132,3713517103.72,1.135,1.111,2.5,DC,DC
133,3713517106.24,1.135,1.111,2.5,DC,DC
134,3713517108.74,1.135,1.111,2.5,DC,DC
135,3713517111.27,1.135,1.111,2.5,DC,DC
136,3713517113.78,1.135,1.111,2.5,DC,DC
137,3713517116.28,1.135,1.111,2.5,DC,DC
138,3713517118.81,1.135,1.111,2.5,DC,DC
139,3713517121.32,1.135,1.111,2.5,DC,DC
140,3713517123.82,1.135,1.111,2.5,DC,DC
141,3713517126.34,1.135,1.111,2.5,DC,DC
142,3713517128.85,1.135,1.111,2.5,DC,DC
143,3713517131.37,1.135,1.111,2.5,DC,DC
144,3713517133.89,1.135,1.111,2.5,DC,DC
145,3713517257.93,1.135,1.116,2.5,DC,DC
146,3713517260.45,1.135,1.116,2.5,DC,DC
147,3713517262.96,1.135,1.116,2.5,DC,DC
148,3713517265.49,1.135,1.116,2.5,DC,DC
149,3713517268.01,1.135,1.117,2.5,DC,DC
150,3713517270.54,1.135,1.117,2.5,DC,DC
151,3713517273.05,1.135,1.117,2.5,DC,DC
152,3713517275.55,1.135,1.117,2.5,DC,DC
153,3713517278.07,1.135,1.117,2.5,DC,DC
154,3713517280.58,1.135,1.117,2.5,DC,DC
155,3713517283.08,1.135,1.117,2.5,DC,DC
156,3713517285.61,1.135,1.117,2.5,DC,DC
157,3713517288.12,1.135,1.117,2.5,DC,DC
158,3713517290.63,1.135,1.118,2.5,DC,DC
159,3713517293.14,1.135,1.118,2.5,DC,DC
160,3713517295.66,1.135,1.118,2.5,DC,DC
161,3713517298.17,1.135,1.118,2.501,DC,DC
162,3713517300.68,1.135,1.118,2.5,DC,DC
163,3713517303.19,1.135,1.118,2.5,DC,DC
164,3713517305.7,1.135,1.118,2.5,DC,DC
165,3713517308.2,1.135,1.118,2.5,DC,DC
166,3713517310.72,1.135,1.118,2.5,DC,DC
167,3713517313.23,1.135,1.118,2.501,DC,DC
168,3713517315.74,1.135,1.118,2.5,DC,DC
169,3713517318.26,1.135,1.118,2.5,DC,DC
170,3713517320.77,1.135,1.118,2.5,DC,DC
171,3713517323.29,1.135,1.118,2.5,DC,DC
172,3713517325.82,1.135,1.118,2.5,DC,DC
173,3713517328.33,1.135,1.118,2.5,DC,DC
174,3713517330.85,1.135,1.118,2.5,DC,DC
175,3713517333.36,1.135,1.118,2.5,DC,DC
176,3713517335.87,1.135,1.118,2.5,DC,DC
177,3713517338.38,1.135,1.118,2.5,DC,DC
178,3713517340.89,1.135,1.118,2.5,DC,DC
179,3713517343.4,1.135,1.118,2.5,DC,DC
180,3713517345.91,1.135,1.118,2.5,DC,DC
181,3713517348.42,1.135,1.118,2.5,DC,DC
182,3713517350.94,1.135,1.118,2.5,DC,DC
183,3713517353.45,1.135,1.118,2.5,DC,DC
184,3713517355.97,1.135,1.118,2.5,DC,DC
185,3713517358.48,1.135,1.118,2.5,DC,DC
186,3713517360.98,1.135,1.118,2.5,DC,DC
187,3713517363.5,1.135,1.118,2.5,DC,DC
188,3713517366.02,1.135,1.118,2.5,DC,DC
189,3713517368.53,1.135,1.118,2.5,DC,DC
190,3713517371.05,1.135,1.118,2.5,DC,DC
191,3713517373.55,1.135,1.118,2.5,DC,DC
192,3713517376.06,1.135,1.118,2.5,DC,DC
193,3713517434.99,1.135,1.122,2.5,DC,DC
194,3713517437.5,1.135,1.122,2.5,DC,DC
195,3713517440.01,1.135,1.122,2.5,DC,DC
196,3713517442.53,1.135,1.122,2.5,DC,DC
197,3713517445.03,1.135,1.122,2.5,DC,DC
198,3713517447.55,1.135,1.122,2.5,DC,DC
199,3713517450.07,1.135,1.122,2.5,DC,DC
200,3713517452.58,1.135,1.122,2.5,DC,DC
201,3713517455.11,1.135,1.122,2.5,DC,DC
202,3713517457.62,1.135,1.122,2.5,DC,DC
203,3713517460.13,1.135,1.122,2.5,DC,DC
204,3713517462.64,1.135,1.122,2.5,DC,DC
205,3713517465.16,1.135,1.122,2.5,DC,DC
206,3713517467.68,1.135,1.122,2.5,DC,DC
207,3713517470.19,1.135,1.122,2.5,DC,DC
208,3713517472.72,1.135,1.122,2.5,DC,DC
209,3713517475.24,1.135,1.123,2.5,DC,DC
210,3713517477.75,1.135,1.123,2.5,DC,DC
211,3713517480.27,1.135,1.123,2.5,DC,DC
212,3713517482.78,1.135,1.123,2.5,DC,DC
213,3713517485.28,1.135,1.123,2.5,DC,DC
214,3713517487.79,1.135,1.123,2.5,DC,DC
215,3713517490.3,1.135,1.123,2.5,DC,DC
216,3713517492.82,1.135,1.123,2.5,DC,DC
217,3713517495.33,1.135,1.123,2.5,DC,DC
218,3713517497.84,1.135,1.123,2.5,DC,DC
219,3713517500.37,1.135,1.123,2.5,DC,DC
220,3713517502.88,1.135,1.123,2.5,DC,DC
221,3713517505.4,1.135,1.124,2.5,DC,DC
222,3713517507.91,1.135,1.124,2.5,DC,DC
223,3713517510.42,1.135,1.124,2.5,DC,DC
224,3713517512.93,1.135,1.124,2.5,DC,DC
225,3713517515.45,1.135,1.124,2.5,DC,DC
226,3713517517.96,1.135,1.124,2.5,DC,DC
227,3713517520.47,1.135,1.124,2.5,DC,DC
228,3713517522.99,1.135,1.124,2.5,DC,DC
229,3713517525.5,1.135,1.124,2.5,DC,DC
230,3713517528.01,1.135,1.123,2.5,DC,DC
231,3713517530.51,1.135,1.123,2.5,DC,DC
232,3713517533.02,1.135,1.124,2.5,DC,DC
233,3713517535.54,1.135,1.123,2.5,DC,DC
234,3713517538.05,1.135,1.124,2.5,DC,DC
235,3713517540.56,1.135,1.123,2.5,DC,DC
236,3713517543.08,1.135,1.123,2.5,DC,DC
237,3713517545.61,1.135,1.123,2.5,DC,DC
238,3713517548.13,1.135,1.123,2.5,DC,DC
239,3713517550.64,1.135,1.123,2.5,DC,DC
240,3713517553.15,1.135,1.123,2.5,DC,DC
241,3713517600.96,1.135,1.129,2.5,DC,DC
242,3713517603.47,1.135,1.129,2.5,DC,DC
243,3713517605.97,1.135,1.129,2.5,DC,DC
244,3713517608.48,1.135,1.129,2.5,DC,DC
245,3713517610.99,1.135,1.129,2.5,DC,DC
246,3713517613.51,1.135,1.129,2.5,DC,DC
247,3713517616.02,1.135,1.129,2.5,DC,DC
248,3713517618.52,1.135,1.129,2.5,DC,DC
249,3713517621.04,1.135,1.129,2.5,DC,DC
250,3713517623.56,1.135,1.129,2.5,DC,DC
251,3713517626.06,1.135,1.129,2.5,DC,DC
252,3713517628.57,1.135,1.129,2.5,DC,DC
253,3713517631.1,1.135,1.129,2.5,DC,DC
254,3713517633.61,1.135,1.129,2.5,DC,DC
255,3713517636.13,1.135,1.129,2.5,DC,DC
