,0,1,2,3,4,5
0,Timestamp,Offset,Ch1 reading,Ch2 reading,AFG frequency,AFG amplitude
117,3713769578.51,1.95,1.189,2.023,DC,DC
118,3713769581.02,1.95,1.189,2.024,DC,DC
119,3713769583.53,1.95,1.189,2.023,DC,DC
120,3713769586.04,1.95,1.189,2.023,DC,DC
121,3713769588.57,1.95,1.189,2.023,DC,DC
122,3713769591.08,1.95,1.189,2.023,DC,DC
123,3713769593.6,1.95,1.189,2.023,DC,DC
124,3713769596.11,1.95,1.189,2.024,DC,DC
125,3713769598.62,1.95,1.189,2.023,DC,DC
126,3713769601.13,1.95,1.189,2.023,DC,DC
127,3713769603.64,1.95,1.189,2.023,DC,DC
128,3713769606.16,1.95,1.189,2.023,DC,DC
129,3713769608.67,1.95,1.189,2.023,DC,DC
130,3713769611.18,1.95,1.189,2.023,DC,DC
131,3713769613.71,1.95,1.189,2.023,DC,DC
132,3713769616.22,1.95,1.189,2.023,DC,DC
133,3713769618.73,1.95,1.189,2.023,DC,DC
134,3713769621.26,1.95,1.189,2.023,DC,DC
135,3713769623.76,1.95,1.189,2.023,DC,DC
136,3713769626.27,1.95,1.189,2.023,DC,DC
137,3713769628.78,1.95,1.189,2.023,DC,DC
138,3713769631.29,1.95,1.189,2.023,DC,DC
139,3713769633.81,1.95,1.189,2.023,DC,DC
140,3713769636.32,1.95,1.189,2.023,DC,DC
141,3713769638.82,1.95,1.188,2.023,DC,DC
142,3713769641.32,1.95,1.189,2.023,DC,DC
143,3713769643.82,1.95,1.189,2.023,DC,DC
144,3713769646.34,1.95,1.189,2.023,DC,DC
145,3713769709.05,1.95,1.189,2.029,DC,DC
146,3713769711.56,1.95,1.189,2.029,DC,DC
147,3713769714.08,1.95,1.189,2.029,DC,DC
148,3713769716.58,1.95,1.189,2.029,DC,DC
149,3713769719.09,1.95,1.189,2.029,DC,DC
150,3713769721.6,1.95,1.189,2.029,DC,DC
151,3713769724.1,1.95,1.189,2.029,DC,DC
152,3713769726.62,1.95,1.189,2.029,DC,DC
153,3713769729.12,1.95,1.189,2.029,DC,DC
154,3713769731.63,1.95,1.189,2.029,DC,DC
155,3713769734.15,1.95,1.189,2.029,DC,DC
156,3713769736.66,1.95,1.189,2.029,DC,DC
157,3713769739.17,1.95,1.189,2.029,DC,DC
158,3713769741.68,1.95,1.189,2.029,DC,DC
159,3713769744.19,1.95,1.189,2.029,DC,DC
160,3713769746.7,1.95,1.189,2.029,DC,DC
161,3713769749.22,1.95,1.189,2.029,DC,DC
162,3713769751.73,1.95,1.189,2.029,DC,DC
163,3713769754.24,1.95,1.188,2.029,DC,DC
164,3713769756.75,1.95,1.189,2.029,DC,DC
165,3713769759.25,1.95,1.189,2.029,DC,DC
166,3713769761.77,1.95,1.189,2.029,DC,DC
167,3713769764.28,1.95,1.189,2.029,DC,DC
168,3713769766.8,1.95,1.189,2.029,DC,DC
169,3713769769.31,1.95,1.189,2.029,DC,DC
170,3713769771.83,1.95,1.189,2.029,DC,DC
171,3713769774.34,1.95,1.189,2.029,DC,DC
172,3713769776.86,1.95,1.189,2.029,DC,DC
173,3713769779.37,1.95,1.189,2.029,DC,DC
174,3713769781.88,1.95,1.189,2.029,DC,DC
