,0,1,2,3,4,5,6
0,time[s],Voltage CH1,Voltage CH2,Current CH1,Current CH2,Power CH1,Power CH2
1,3713350876.4029474,14.9999,2.4972,0.1754,0.0753,2.63,0.19
2,3713350877.4315834,14.9999,2.4972,0.1754,0.0753,2.63,0.19
3,3713350878.455528,14.9998,2.4972,0.1754,0.0753,2.63,0.19
4,3713350879.477441,14.9998,2.4973,0.1754,0.0753,2.63,0.19
5,3713350880.5098486,14.9999,2.4972,0.1754,0.0753,2.63,0.19
6,3713350881.5325103,14.9999,2.4972,0.1754,0.0753,2.63,0.19
7,3713350882.552927,14.9998,2.4972,0.1754,0.0753,2.63,0.19
8,3713350883.585841,14.9998,2.4972,0.1754,0.0753,2.63,0.19
9,3713350884.6202474,14.9998,2.4973,0.1754,0.0753,2.63,0.19
10,3713350885.6516585,14.9998,2.4971,0.1754,0.0753,2.63,0.19
11,3713350886.684066,14.9997,2.4972,0.1754,0.0753,2.63,0.19
12,3713350887.704481,14.9998,2.4972,0.1754,0.0753,2.63,0.19
13,3713350888.7359104,14.9997,2.4972,0.1754,0.0753,2.63,0.19
14,3713350889.756866,14.9996,2.4972,0.1754,0.0753,2.63,0.19
15,3713350890.776941,14.9995,2.4972,0.1754,0.0753,2.63,0.19
16,3713350891.8103504,14.9997,2.4972,0.1754,0.0753,2.63,0.19
17,3713350892.8318157,14.9997,2.4972,0.1754,0.0753,2.63,0.19
18,3713350893.8665457,14.9997,2.4973,0.1754,0.0753,2.63,0.19
19,3713350894.903121,14.9996,2.4973,0.1754,0.0753,2.63,0.19
20,3713350895.923959,14.9996,2.4973,0.1754,0.0753,2.63,0.19
21,3713350896.9573812,14.9996,2.4972,0.1754,0.0753,2.63,0.19
22,3713350897.9929676,14.9997,2.4972,0.1754,0.0753,2.63,0.19
23,3713350899.022147,14.9996,2.4972,0.1754,0.0753,2.63,0.19
24,3713350900.0569935,14.9997,2.4973,0.1754,0.0753,2.63,0.19
25,3713350901.078429,14.9998,2.4972,0.1754,0.0753,2.63,0.19
26,3713350902.114233,14.9998,2.4972,0.1754,0.0753,2.63,0.19
27,3713350903.1481757,14.9998,2.4973,0.1754,0.0753,2.63,0.19
28,3713350904.1856394,14.9997,2.4972,0.1754,0.0753,2.63,0.19
29,3713350905.221448,14.9996,2.4972,0.1754,0.0753,2.63,0.19
30,3713350906.2571306,14.9996,2.4972,0.1754,0.0753,2.63,0.19
31,3713350907.2908077,14.9997,2.4973,0.1754,0.0753,2.63,0.19
32,3713350908.325815,14.9997,2.4973,0.1754,0.0753,2.63,0.19
33,3713350909.3489413,14.9996,2.4973,0.1754,0.0753,2.63,0.19
34,3713350910.3823566,14.9997,2.4973,0.1754,0.0753,2.63,0.19
35,3713350911.4131165,14.9998,2.4973,0.1754,0.0753,2.63,0.19
36,3713350912.449131,14.9998,2.4972,0.1754,0.0753,2.63,0.19
